Date,ASIANPAINT.BO,AXISBANK.BO,BAJAJ-AUTO.BO,BAJFINANCE.BO,BAJAJFINSV.BO,BHARTIARTL.BO,DRREDDY.BO,HCLTECH.BO,HDFC.BO,HDFCBANK.BO,HINDUNILVR.BO,ICICIBANK.BO,INDUSINDBK.BO,INFY.BO,ITC.BO,KOTAKBANK.BO,LT.BO,M&M.BO,MARUTI.BO,NESTLEIND.BO,NTPC.BO,ONGC.BO,POWERGRID.BO,RELIANCE.BO,SBIN.BO,SUNPHARMA.BO,TCS.BO,TECHM.BO,TITAN.BO,ULTRACEMCO.BO
2020-01-31,1783.7705078125,729.3499755859375,3042.59716796875,4355.24560546875,9440.39453125,494.9224243164063,3093.819580078125,583.00048828125,2359.722412109375,1225.699951171875,1998.8232421875,525.5499877929688,1258.9000244140625,757.7892456054688,218.55404663085935,1691.050048828125,1313.068359375,564.9255981445312,6850.08935546875,15070.732421875,102.408447265625,99.67437744140624,171.73611450195312,1406.4200439453125,318.54998779296875,426.3432312011719,2040.9234619140625,763.8374633789062,1179.1453857421875,4404.11279296875
2020-02-03,1855.459228515625,709.0999755859375,3148.405517578125,4352.052734375,9089.5419921875,508.4737243652344,3122.385498046875,570.6800537109375,2211.432861328125,1193.0,2140.66650390625,515.5999755859375,1262.9000244140625,748.8579711914062,192.9593048095703,1677.449951171875,1234.0406494140625,556.5615234375,6946.91796875,15993.7646484375,100.13875579833984,94.64031219482422,172.47120666503906,1380.666748046875,298.0,410.1343078613281,2064.333251953125,760.9083862304688,1177.0115966796875,4357.21044921875
2020-02-04,1878.7591552734373,714.9000244140625,3026.852783203125,4507.6953125,9540.5380859375,517.2422485351562,3221.944091796875,578.22021484375,2294.47900390625,1229.25,2117.574462890625,530.5999755859375,1272.449951171875,769.0142822265625,200.3915252685547,1698.0,1238.7401123046875,574.1361083984375,7135.91845703125,16142.255859375,101.59136199951172,97.0658187866211,178.53573608398438,1420.51708984375,306.25,418.0914306640625,2068.799560546875,778.9143676757812,1265.88671875,4461.63134765625
2020-02-05,1860.327880859375,724.1500244140625,3025.1298828125,4517.17333984375,9590.2099609375,531.5906982421875,3114.436767578125,586.5487060546875,2339.22998046875,1244.199951171875,2122.634765625,538.9000244140625,1272.800048828125,765.744384765625,201.18121337890625,1690.8499755859375,1258.161376953125,581.90283203125,6975.11474609375,16064.69921875,101.0012435913086,97.6607437133789,174.17111206054688,1442.6341552734375,310.95001220703125,418.6317138671875,2105.65625,781.747314453125,1270.2535400390625,4456.54736328125
2020-02-06,1849.10009765625,737.0,3013.979736328125,4656.50341796875,9606.80078125,544.7932739257812,3140.568603515625,590.7376098632812,2382.318359375,1239.8499755859375,2119.68701171875,541.6500244140625,1334.550048828125,752.5183715820312,198.34767150878903,1674.0,1263.436279296875,577.6211547851562,6960.2978515625,15977.919921875,101.68214416503906,98.16415405273438,177.34120178222656,1452.1982421875,322.0,423.3470764160156,2089.411865234375,785.156494140625,1249.21337890625,4453.158203125
2020-02-07,1845.6722412109373,748.0,2999.671142578125,4639.392578125,9612.1474609375,537.6688842773438,3145.6357421875,598.7705688476562,2353.46240234375,1241.9000244140625,2122.0947265625,536.4000244140625,1298.699951171875,758.6189575195312,198.34767150878903,1652.699951171875,1245.693359375,566.3694458007812,6906.779296875,15997.9833984375,105.0412826538086,100.04048919677734,174.99810791015625,1428.3875732421875,320.5,422.8558654785156,2097.263916015625,791.3984985351562,1264.7950439453125,4459.13916015625
2020-02-10,1858.3902587890625,741.2999877929688,2971.149169921875,4709.4814453125,9621.29296875,536.5728149414062,3130.33447265625,596.9472045898438,2361.874755859375,1240.199951171875,2122.536865234375,533.9000244140625,1275.449951171875,754.7633666992188,195.7463836669922,1669.8499755859375,1232.745849609375,525.7935791015625,6830.16845703125,15862.8369140625,102.99856567382812,97.2031021118164,171.50640869140625,1431.3763427734375,318.5,412.7375793457031,2122.44091796875,781.1231689453125,1247.923095703125,4396.9853515625
2020-02-11,1865.1468505859373,749.5,3011.34765625,4738.31591796875,9725.984375,532.537353515625,3170.37646484375,601.825927734375,2382.367431640625,1240.050048828125,2115.412841796875,539.8499755859375,1292.199951171875,755.3001708984375,197.6044464111328,1677.1500244140625,1234.2803955078125,522.1591796875,6971.39794921875,15692.90625,106.08534240722656,97.61498260498048,174.12518310546875,1447.1671142578125,324.3500061035156,411.0184326171875,2111.938232421875,787.2691650390625,1261.420654296875,4455.40087890625
2020-02-12,1879.95166015625,755.1500244140625,3008.141357421875,4758.61865234375,9768.009765625,537.6190795898438,3177.083251953125,605.1278686523438,2383.345458984375,1249.050048828125,2221.193115234375,549.2999877929688,1277.199951171875,762.3768310546875,197.88314819335935,1714.75,1243.7752685546875,528.6812133789062,6979.822265625,15982.08984375,105.90377044677734,97.70651245117188,173.9873504638672,1464.501953125,320.0,407.0890197753906,2130.4404296875,788.7576904296875,1259.08837890625,4436.958984375
2020-02-13,1862.066650390625,747.6500244140625,3001.106689453125,4784.80859375,9710.9423828125,537.8681640625,3304.36328125,603.8958740234375,2350.723388671875,1241.199951171875,2239.666748046875,541.0,1230.199951171875,773.4066772460938,196.9076690673828,1689.5,1239.267578125,530.9713745117188,6938.4443359375,16107.72265625,104.4965591430664,96.42511749267578,174.90621948242188,1468.4371337890625,327.45001220703125,411.656982421875,2151.151123046875,795.143798828125,1288.911865234375,4438.85302734375
